Device IP,Hostname,Interface,Vlan,MAC,MAC Type,Registration,Is Unique,Last Seen
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:cf:bc,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:d5:fc,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:d7:25,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:e0:d6,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:e2:51,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:f2:db,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:f5:42,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:f8:be,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:fd:80,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,61,00:00:5e:00:01:28,GlobalUnicast,"ICANN, IANA Department / VRRP",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,62,00:50:56:9a:38:21,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/12,62,00:50:56:9a:30:bc,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,62,54:88:de:08:e5:7f,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,62,00:00:5e:00:01:32,GlobalUnicast,"ICANN, IANA Department / VRRP",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,62,00:50:56:9a:b4:a7,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,63,00:50:56:9a:67:27,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,63,54:88:de:08:e5:5f,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,64,00:50:56:9a:41:5b,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,64,40:a6:b7:1d:fe:0c,GlobalUnicast,Intel Corporate,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,64,40:a6:b7:1d:fe:10,GlobalUnicast,Intel Corporate,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,64,40:a6:b7:1e:02:58,GlobalUnicast,Intel Corporate,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,64,54:8a:ba:ee:59:4c,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,64,54:8a:ba:ef:54:28,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,64,54:8a:ba:ef:75:c0,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,64,64:3a:ea:de:fc:3f,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,64,64:3a:ea:de:ff:5f,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,64,00:50:56:9a:e2:d2,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,65,00:50:56:9a:22:63,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,65,64:3a:ea:de:fc:3f,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,65,64:3a:ea:de:ff:5f,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,66,00:50:56:9a:41:48,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,66,64:3a:ea:de:fc:3f,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,66,64:3a:ea:de:ff:5f,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,67,00:50:56:9a:be:d7,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,67,00:50:56:9a:b2:21,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/12,68,00:50:56:9a:71:33,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,70,00:50:56:61:0b:d1,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,70,00:50:56:64:cd:b6,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-04T23:49:36.537+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,70,00:50:56:66:b5:6a,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-04T23:49:36.537+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/12,70,00:50:56:6c:d6:e6,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/3,70,00:00:0c:07:ac:46,GlobalUnicast,"Cisco Systems, Inc / HSRP v1",false,2021-02-05T02:42:11.136+00:00
