Device IP,Hostname,ARP IP,MAC,Interface,VRF Name,Registration,MAC48 Type,Is ProxyARP,Seen From,Seen To
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.23,f0:18:98:37:64:37,Te0/0/2/1.120,vae-tr,"Apple, Inc.",GlobalUnicast,false,2021-02-04T20:28:23.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.11,18:56:80:98:46:9e,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T23:47:59.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.195,f2:22:ba:6f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:38:34.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.94,a4:4c:c8:94:dc:96,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:40:05.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.53,a4:4c:c8:94:dc:85,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:46:14.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.198,f2:22:e4:cf:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:37:53.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.35,f2:22:e2:2f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:40:30.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.73,f2:23:04:af:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:45:54.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.36,98:e7:43:ed:01:07,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:47:21.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.11.103,94:c6:91:17:2a:b4,Te0/0/2/1.120,vae-tr,"EliteGroup Computer Systems Co., LTD",GlobalUnicast,false,2021-02-04T23:48:00.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.11.101,d8:9e:f3:83:5c:8a,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:47:59.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.33,f2:8c:32:ff:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:37:49.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.14,f0:d5:bf:df:15:9c,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T23:43:41.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.28,f2:b9:21:ff:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:39:14.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.31,f2:22:dc:8f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:39:13.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.15,84:c5:a6:17:9f:cb,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T23:46:13.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.200,f2:22:f1:8f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:09:10.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.32,f2:22:8f:df:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:39:57.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.37,d8:d0:90:38:30:15,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:22:25.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.56,34:48:ed:9c:f0:e0,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:27:59.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.11.104,94:c6:91:16:a7:a9,Te0/0/2/1.120,vae-tr,"EliteGroup Computer Systems Co., LTD",GlobalUnicast,false,2021-02-04T23:47:29.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.197,f2:b9:0e:7f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:39:56.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.34,f2:8d:a9:0f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:37:57.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.67,f2:22:df:5f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:40:04.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.71,ec:f4:bb:37:9e:c9,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:18:49.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.30,f2:8d:e4:7f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:48:00.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.45,8c:8d:28:1f:f8:d8,Te0/0/2/1.120,vae-tr,<none>,GlobalUnicast,false,2021-02-04T23:47:05.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.11.244,f2:23:04:7f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:40:39.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.23,f0:18:98:37:64:37,Te0/0/2/1.120,vae-tr,"Apple, Inc.",GlobalUnicast,false,2021-02-04T23:47:25.791+00:00,2021-02-05T02:43:35.17+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.19,84:7b:eb:10:13:d5,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T22:27:09.791+00:00,2021-02-04T23:48:00.791+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.49,10:65:30:0d:09:f0,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T22:00:32.791+00:00,2021-02-04T23:48:00.791+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.13,9c:b6:d0:bc:c7:53,Te0/0/2/1.120,vae-tr,Rivet Networks,GlobalUnicast,false,2021-02-04T21:30:18.791+00:00,2021-02-04T23:48:00.791+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.142,10:65:30:b8:6d:a7,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T21:21:01.791+00:00,2021-02-04T23:48:00.791+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.29,54:bf:64:30:ac:66,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T21:04:52.791+00:00,2021-02-04T23:48:00.791+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.41,e4:70:b8:82:e4:fc,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T20:56:24.791+00:00,2021-02-04T23:48:00.791+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.10,34:02:86:dd:03:83,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T21:24:28.791+00:00,2021-02-04T23:48:00.791+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.25,00:24:d6:d0:26:13,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T22:00:09.791+00:00,2021-02-04T23:48:00.791+00:00
10.110.10.11,c9001-sprva-5501-311-101-1,10.120.10.4,e0:ac:f1:7d:a2:65,Te0/0/2/1.120,vae-tr,"Cisco Systems, Inc",GlobalUnicast,false,2021-02-04T22:43:31.791+00:00,2021-02-05T02:43:35.17+00:00
